iter	Passed	Remaining
418	2292	3178
419	2296	3171
420	2302	3166
421	2306	3159
422	2312	3153
423	2316	3147
424	2321	3140
425	2326	3134
426	2331	3128
427	2335	3121
428	2341	3115
429	2346	3110
430	2351	3104
431	2356	3098
432	2362	3093
433	2367	3087
434	2373	3082
435	2378	3076
436	2383	3070
437	2391	3067
438	2396	3062
439	2402	3058
440	2408	3053
441	2415	3049
442	2420	3043
443	2425	3036
444	2439	3041
445	2446	3038
446	2457	3039
447	2466	3038
448	2479	3042
449	2490	3043
450	2503	3047
451	2513	3047
452	2520	3043
453	2529	3042
454	2536	3038
455	2545	3036
456	2550	3030
457	2556	3025
458	2566	3024
459	2578	3026
460	2584	3021
461	2591	3017
462	2603	3019
463	2617	3023
464	2622	3017
465	2636	3021
466	2653	3027
467	2665	3029
468	2672	3026
469	2684	3027
470	2698	3030
471	2704	3025
472	2718	3028
473	2731	3031
474	2740	3029
475	2751	3028
476	2761	3028
477	2770	3025
478	2780	3023
479	2790	3022
480	2796	3016
481	2807	3017
482	2812	3010
483	2823	3010
484	2828	3003
485	2838	3001
486	2843	2995
487	2853	2993
488	2858	2987
489	2865	2982
490	2873	2978
491	2887	2980
492	2894	2976
493	2912	2983
494	2922	2981
495	2926	2974
496	2935	2970
497	2939	2963
498	2948	2959
499	2954	2954
500	2962	2951
501	2968	2945
502	2973	2937
503	2980	2933
504	2985	2926
505	2990	2919
506	2995	2912
507	3001	2906
508	3016	2909
509	3048	2929
510	3094	2961
511	3116	2970
512	3141	2982
513	3148	2976
514	3161	2976
515	3173	2976
516	3180	2971
517	3192	2970
518	3200	2966
519	3215	2967
520	3225	2965
521	3241	2968
522	3249	2963
523	3257	2958
524	3264	2953
525	3274	2950
526	3282	2945
527	3289	2940
528	3298	2936
529	3306	2932
530	3314	2927
531	3323	2923
532	3330	2918
533	3339	2914
534	3348	2910
535	3357	2906
536	3366	2902
537	3372	2895
538	3381	2891
539	3396	2892
540	3404	2888
541	3411	2882
542	3419	2877
543	3426	2871
544	3435	2867
545	3441	2861
546	3447	2855
547	3455	2850
548	3461	2843
549	3469	2838
550	3475	2832
551	3484	2828
552	3491	2821
553	3499	2817
554	3504	2810
555	3510	2803
556	3516	2796
557	3521	2789
558	3529	2784
559	3537	2779
560	3543	2772
561	3549	2766
562	3555	2759
563	3562	2754
564	3568	2747
565	3573	2740
566	3583	2736
567	3588	2729
568	3609	2734
569	3618	2729
570	3630	2727
571	3640	2724
572	3647	2717
573	3653	2711
574	3660	2705
575	3667	2699
576	3673	2693
577	3677	2685
578	3680	2676
579	3686	2669
580	3695	2665
581	3701	2658
582	3708	2652
583	3713	2645
584	3718	2638
585	3723	2630
586	3729	2623
587	3734	2616
588	3740	2610
589	3745	2602
590	3749	2595
591	3754	2587
592	3759	2580
593	3764	2572
594	3769	2565
595	3774	2558
596	3779	2551
597	3785	2544
598	3790	2537
599	3795	2530
600	3800	2523
601	3805	2516
602	3810	2508
603	3814	2501
604	3819	2493
605	3824	2486
606	3829	2479
607	3834	2472
608	3839	2465
609	3844	2457
610	3848	2450
611	3856	2445
612	3861	2437
613	3866	2430
614	3870	2423
615	3876	2416
616	3880	2408
617	3887	2402
618	3892	2395
619	3896	2388
620	3901	2381
621	3906	2373
622	3910	2366
623	3916	2359
624	3921	2352
625	3925	2345
626	3931	2338
627	3935	2331
628	3940	2324
629	3945	2317
630	3951	2310
631	3955	2303
632	3960	2296
633	3965	2289
634	3970	2282
635	3975	2275
636	3980	2268
637	3985	2261
638	3990	2254
639	3992	2245
640	3996	2238
641	4001	2231
642	4005	2224
643	4010	2217
644	4014	2209
645	4019	2202
646	4023	2195
647	4028	2188
648	4033	2181
649	4038	2174
650	4043	2167
651	4048	2160
652	4053	2153
653	4057	2146
654	4062	2139
655	4067	2132
656	4071	2125
657	4076	2118
658	4080	2111
659	4085	2104
660	4090	2097
661	4094	2090
662	4099	2083
663	4104	2076
664	4109	2069
665	4113	2062
666	4117	2055
667	4121	2048
668	4127	2041
669	4131	2034
670	4136	2027
671	4140	2021
672	4145	2014
673	4150	2007
674	4154	2000
675	4159	1993
676	4166	1987
677	4171	1981
678	4176	1974
679	4181	1967
680	4187	1961
681	4192	1954
682	4197	1948
683	4201	1941
684	4206	1934
685	4211	1927
686	4215	1920
687	4220	1913
688	4226	1907
689	4230	1900
690	4235	1894
691	4240	1887
692	4245	1880
693	4249	1873
694	4254	1867
695	4258	1860
696	4263	1853
697	4268	1846
698	4273	1840
699	4278	1833
700	4283	1827
701	4288	1820
702	4294	1814
703	4300	1808
704	4305	1801
705	4311	1795
706	4316	1788
707	4321	1782
708	4327	1776
709	4332	1769
710	4337	1762
711	4342	1756
712	4347	1750
713	4354	1744
714	4360	1738
715	4367	1732
716	4373	1726
717	4380	1720
718	4386	1714
719	4393	1708
720	4400	1702
721	4406	1696
722	4413	1690
723	4419	1684
724	4426	1678
725	4432	1672
726	4438	1666
727	4444	1660
728	4450	1654
729	4457	1648
730	4463	1642
731	4469	1636
732	4475	1630
733	4481	1623
734	4490	1619
735	4496	1612
736	4502	1606
737	4508	1600
738	4515	1594
739	4520	1588
740	4527	1582
741	4533	1576
742	4539	1570
743	4546	1564
744	4552	1558
745	4559	1552
746	4565	1546
747	4571	1540
748	4578	1534
749	4583	1527
750	4590	1521
751	4596	1515
752	4602	1509
753	4608	1503
754	4614	1497
755	4621	1491
756	4627	1485
757	4633	1479
758	4639	1473
759	4646	1467
760	4652	1461
761	4658	1455
762	4666	1449
763	4672	1443
764	4678	1437
765	4685	1431
766	4692	1425
767	4699	1419
768	4705	1413
