iter	MAE
192	3937485.457
193	3935143.923
194	3931940.114
195	3929247.865
196	3926118.452
197	3924117.808
198	3922027.009
199	3919220.386
200	3915565.384
201	3912554.759
202	3906183.57
203	3903416.149
204	3899321.964
205	3894325.942
206	3891723.629
207	3889407.195
208	3887184.318
209	3885604.929
210	3883963.99
211	3880894.24
212	3878857.168
213	3876409.001
214	3875236.932
215	3873416.173
216	3869011.789
217	3864137.902
218	3860490.984
219	3857970.156
220	3857939.828
221	3856263.546
222	3854721.696
223	3852615.895
224	3851082.95
225	3850090.308
226	3848303.17
227	3846664.365
228	3842738.03
229	3841235.993
230	3840010.796
231	3838035.684
232	3836976.596
233	3834220.422
234	3831651.508
235	3829358.857
236	3828857.012
237	3827717.97
238	3824712.629
239	3821310.582
240	3816769.893
241	3815899.038
242	3812632.854
243	3810815.124
244	3808514.335
245	3805665.262
246	3804812.833
247	3802069.274
248	3796929.323
249	3794072.503
250	3788664.584
251	3785533.341
252	3784295.961
253	3779360.007
254	3777317.928
255	3775485.764
256	3771467.749
257	3766667.803
258	3765009.709
259	3764443.617
260	3761314.975
261	3759918.879
262	3758332.901
263	3756779.451
264	3755894.661
265	3753156.284
266	3752566.842
267	3750006.474
268	3749125.448
269	3747410.488
270	3744256.048
271	3742800.216
272	3740270.277
273	3739107.7
274	3737486.717
275	3735090.945
276	3733263.202
277	3731977.777
278	3730182.585
279	3729542.951
280	3728486.228
281	3725357.429
282	3724401.485
283	3722710.074
284	3720303.36
285	3717338.01
286	3714869.747
287	3713468.849
288	3710278.144
289	3706834.624
290	3702156.221
291	3700527.79
292	3697113.891
293	3696190.051
294	3693924.835
295	3692910.638
296	3685313.017
297	3684086.808
298	3681206.43
299	3680677.316
300	3679867.369
301	3677757.353
302	3677285.772
303	3674488.844
304	3673615.172
305	3672630.688
306	3668372.23
307	3667036.937
308	3665684.39
309	3664350.616
310	3661341.07
311	3660723.876
312	3659686.82
313	3657940.245
314	3654507.911
315	3652075.17
316	3650566.498
317	3647019.411
318	3645921.609
319	3645194.38
320	3642083.928
321	3641360.898
322	3640229.108
323	3639159.657
324	3637110.759
325	3634933.859
326	3633843.584
327	3631594.416
328	3630708.436
329	3629461.422
330	3628178.169
331	3626490.23
332	3625673.627
333	3622330.734
334	3621666.122
335	3620992.733
336	3618327.161
337	3617368.022
338	3616599.191
339	3616040.959
340	3614520.438
341	3614021.814
342	3612405.46
343	3610861.826
344	3609909.433
345	3607143.011
346	3605034.894
347	3603888.665
348	3602692.276
349	3601958.647
350	3598857.928
351	3598508.547
352	3596214.979
353	3593001.245
354	3589043.496
355	3585180.203
356	3583918.103
357	3580586.718
358	3578448.776
359	3575584.084
360	3575257.394
361	3572782.678
362	3571353.231
363	3571244.677
364	3569198.657
365	3568393.206
366	3564917.152
367	3564148.465
368	3561581.293
369	3561088.78
370	3559294.721
371	3556071.597
372	3553452.484
373	3552376.742
374	3550072.758
375	3547466.147
376	3546642.187
377	3545932.172
378	3543675.147
379	3542596.604
380	3541371.2
381	3540533.278
382	3538766.038
383	3535742.618
384	3535270.95
385	3532713.815
386	3531926.189
387	3531317.996
388	3530189.64
389	3529538.927
390	3528631.854
391	3526195.875
392	3524949.695
393	3523386.785
394	3522707.564
395	3522579.178
396	3521246.847
397	3520413.408
398	3520114.848
399	3519721.614
400	3518351.231
401	3514755.506
402	3513312.746
403	3509011.488
404	3507271.392
405	3506475.163
406	3504949.428
407	3504402.803
408	3502266.828
409	3499940.383
410	3498918.448
411	3497015.826
412	3496635.039
413	3495472.104
414	3492797.686
415	3492065.79
416	3490285.255
417	3486918.752
418	3486221.4
419	3484048.71
420	3482740.761
421	3481570.479
422	3480829.033
423	3480243.318
424	3480017.505
425	3479376.724
426	3477411.793
427	3476023.577
428	3473854.89
429	3472738.94
430	3470555.293
431	3469020.671
432	3467472.634
433	3466381.177
434	3464438.708
435	3462723.133
436	3461763.935
437	3460980.607
438	3459789.077
439	3457342.429
440	3456890.216
441	3456291.433
442	3454642.983
443	3453249.708
444	3451081.474
445	3449493.811
446	3447570.967
447	3445565.58
448	3444482.182
449	3443259.11
450	3440774.113
451	3439038.858
452	3437250.325
453	3435739.798
454	3434812.288
455	3432362.705
456	3430820.744
457	3430142.874
458	3429250.366
459	3426315.787
460	3423963.539
461	3423019.056
462	3422191.615
463	3421839.489
464	3420566.092
465	3419418.693
466	3417843.014
467	3417607.633
468	3415661.585
469	3413710.582
470	3412169.082
471	3409355.935
472	3408165.425
473	3406639.677
474	3406411.018
475	3404419.366
476	3404217.969
477	3403829.604
478	3402608.098
479	3401516.939
480	3401134.706
481	3397778.994
482	3397050.022
483	3394061.516
484	3388281.012
485	3388001.167
486	3387258.244
487	3386671.963
488	3385744.678
489	3384968.222
490	3382312.961
491	3381590.599
492	3380968.021
493	3380735.51
494	3379621.946
495	3379277.468
496	3378383.028
497	3377923.125
498	3376521.634
499	3375100.059
500	3374897.919
501	3373718.761
502	3373097.856
503	3371553.835
504	3370036.071
505	3368932.406
506	3367768.148
507	3366046.323
508	3363609.198
509	3363026.273
510	3361325.25
511	3361002.752
512	3359921.994
513	3359766.048
514	3359126.819
515	3357204.771
516	3356227.04
517	3353591.844
518	3351103.5
519	3350179.146
520	3348936.915
521	3346711.716
522	3345543.943
523	3344076.467
524	3343074.575
525	3342509.516
526	3341331.157
527	3340310.426
528	3337366.726
529	3335578.626
530	3334575.768
531	3332679.601
532	3330563.206
533	3328603.923
534	3325206.566
535	3323564.043
536	3321810.095
537	3321537.069
538	3320928.112
539	3319969.839
540	3319253.116
541	3315057.542
542	3314156.423
543	3312646.157
544	3311973.003
545	3310213.442
546	3309579.141
547	3308304.281
548	3308022.79
549	3307405.509
550	3306593.711
551	3305706.371
552	3305117.88
553	3304406.294
554	3304019.421
555	3303897.385
556	3303280.419
557	3303126.494
558	3301826.819
559	3301068.139
560	3300426.192
561	3299850.41
562	3298463.301
563	3298309.677
564	3297637.972
565	3297592.321
566	3296912.731
567	3296760.977
568	3296016.05
569	3295735.01
570	3295036.015
571	3294644.974
572	3294115.752
573	3293305.07
574	3291026.312
575	3290270.136
576	3289046.489
577	3288593.187
578	3288495.398
579	3287552.743
580	3286936.507
581	3286266.129
582	3285679.655
583	3284443.063
584	3283518.487
585	3283263.003
586	3283154.626
587	3282610.701
588	3282237.596
589	3281420.021
590	3281206.147
591	3280765.921
592	3280249.723
593	3279490.051
594	3277578.439
595	3277271.863
596	3276614.98
597	3275908.992
598	3275074.91
599	3274863.327
600	3274147.64
601	3273658.617
602	3273031.823
603	3272932.692
604	3272789.381
605	3272020.065
606	3271241.84
607	3269344.612
608	3268823.241
609	3268515.644
610	3267339.819
611	3266249.349
612	3265802.317
613	3264795.454
614	3264029.095
615	3263643.596
616	3263244.715
617	3262927.933
618	3262781.248
619	3262396.664
620	3262202.018
621	3261702.47
622	3261095.244
623	3260181.816
624	3259322.74
625	3258614.829
626	3257726.347
627	3257313.736
628	3256249.675
629	3255593.802
630	3255305.197
631	3254526.143
632	3254003.547
633	3253514.317
634	3252977.812
635	3252486.719
636	3251603.241
637	3251475.257
638	3250366.587
639	3250250.08
640	3249917.954
641	3249826.447
642	3248663.626
643	3248568.018
644	3248384.659
645	3248034.738
646	3247955.358
647	3247943.516
648	3247791.15
649	3247468.945
650	3245502.569
651	3244704.247
652	3242873.416
653	3241371.673
654	3239715.976
655	3238639.325
656	3238240.126
657	3237961.314
658	3237629.032
659	3236625.496
660	3234483.457
661	3233695.622
662	3232765.695
663	3232343.3
664	3231741.044
665	3231274.908
666	3231068.361
667	3230703.058
668	3230393.384
669	3229431.541
670	3228886.726
671	3228556.681
672	3228014.363
673	3227750.332
674	3227652.75
675	3227324.049
676	3227122.806
677	3225392.989
678	3225248.029
679	3225131.705
680	3224998.735
681	3224759.287
682	3224205.93
683	3223869.285
684	3222765.18
685	3222204.541
686	3221939.324
687	3221629.423
688	3221506.954
689	3220411.948
690	3218932.696
691	3217164.667
692	3216610.111
693	3215939.851
694	3215536.453
695	3215173.656
696	3214514.57
697	3213632.742
698	3213152.697
699	3212738.983
700	3212644.462
701	3212354.66
702	3211858.937
703	3211494.334
704	3210912.714
705	3210793.647
706	3210580.712
707	3209780.538
708	3207690.918
709	3207113.844
710	3206638.298
711	3206160.695
712	3206126.65
713	3205313.537
714	3198679.576
715	3198100.815
716	3198030.3
717	3197694.76
718	3197428.233
719	3196872.885
720	3196035.359
721	3195165.731
722	3194618.826
723	3193035.669
724	3192579.661
725	3192298.261
726	3192045.822
727	3191997.437
728	3191041.536
729	3190804.01
730	3190308.419
731	3188167.073
732	3187925.284
733	3187485.617
734	3185964.401
735	3185805.896
736	3185436.624
737	3185085.72
738	3184906.651
739	3184325.44
740	3183963.577
741	3183636.787
742	3183406.897
743	3181483.997
744	3179379.164
745	3179210.912
746	3178014.206
747	3177105.659
748	3175498.894
749	3175287.833
750	3174894.41
751	3174463.739
752	3172436.474
753	3171900.632
754	3170811.032
755	3169849.842
756	3168859.695
757	3168209.615
758	3168056.362
759	3167072.994
760	3166744.289
761	3166162.37
762	3164117.843
763	3163499.598
764	3163321.49
765	3162301.861
766	3161609.543
767	3161402.277
768	3160455.246
769	3160238.672
770	3159391.974
771	3158482.727
772	3157566.963
773	3156043.882
774	3155440.289
775	3155012.269
776	3154741.114
777	3153615.663
778	3152949.661
779	3152919.074
780	3152671.359
781	3152133.137
782	3151176.969
783	3150804.732
784	3150551.092
785	3149088.698
786	3148536.762
787	3148179.263
788	3147971.342
789	3147538.405
790	3146756.958
791	3145441.448
792	3144768.83
793	3144457.034
794	3143960.632
795	3143823.677
796	3142009.014
797	3141843.596
798	3139650.379
799	3138705.71
800	3137567.497
801	3137347.37
802	3137284.811
803	3135970.501
804	3135423.481
805	3134988.802
806	3134175.159
807	3133681.125
808	3131627.74
809	3129245.741
810	3128865.986
811	3128812.635
812	3128614.899
813	3128224.562
814	3127215.052
815	3126620.542
816	3125726.814
817	3125527.212
818	3125279.161
819	3125162.099
820	3124433.272
821	3123288.052
822	3122711.863
823	3122361.967
824	3119427.155
825	3119327.58
826	3118870.246
827	3117600.63
828	3116774.248
829	3116717.907
830	3116420.91
831	3116143.911
832	3114968.818
833	3113938.789
834	3112910.162
835	3110515.184
836	3110008.14
837	3109967.235
838	3108580.317
839	3106314.872
840	3105949.249
841	3105634.675
842	3104500.683
843	3102347.887
844	3102141.646
845	3101581.355
846	3100088.058
847	3097909.833
848	3095052.518
849	3094269.554
850	3093472.377
851	3093342.965
852	3092225.122
853	3090786.537
854	3089915.936
855	3088774.306
856	3088572.451
857	3088183.908
858	3087535.996
859	3087267.515
860	3087037.385
861	3087006.463
862	3085800.194
863	3085716.178
864	3085561.766
865	3085049.181
866	3084092.729
867	3083209.682
868	3082380.856
869	3082281.035
870	3081724.118
871	3081686.812
872	3081539.027
873	3081169.266
874	3080776.827
875	3080600.547
876	3079927.262
877	3079165.054
878	3078887.735
879	3078369.666
880	3077963.873
881	3077266.808
882	3075507.247
883	3074114.892
884	3073595.943
885	3072170.094
886	3070544.942
887	3067956.502
888	3066388.292
889	3064958.644
890	3064415.169
891	3064302.074
892	3062260.288
893	3061723.11
894	3060011.362
895	3059484.686
896	3059035.778
897	3058183.665
898	3056301.183
899	3056109.42
900	3054938.136
901	3054469.054
902	3053786.984
903	3053516.645
904	3051626.789
905	3051525.069
906	3051125.401
907	3050856.998
908	3050488.863
909	3047700.887
910	3047569.627
911	3046782.775
912	3045810.101
913	3045221.565
914	3044454.794
915	3043914.237
916	3043418.508
917	3043086.251
918	3042503.378
919	3042218.748
920	3041796.524
921	3040233.659
922	3040052.787
923	3039991.548
924	3037965.547
925	3037372.383
926	3037164.818
927	3036697.291
928	3036229.713
929	3034762.049
930	3034128.683
931	3033939.172
932	3033780.406
933	3033738.108
934	3032721.059
935	3032136.747
936	3032116.091
937	3031759.38
938	3031409.894
939	3031060.231
940	3030728.65
941	3030162.737
942	3030081.552
943	3029856.013
944	3029143.172
945	3027149.483
946	3027117.818
947	3025885.938
948	3024994.226
949	3024311.32
950	3024203.604
951	3022769.553
952	3022083.641
953	3020054.45
954	3019506.333
955	3019370.985
956	3017882.318
957	3017186.959
958	3016608.615
959	3014680.215
960	3014319.105
961	3012803.248
962	3011892.051
963	3011323.706
964	3009738.748
965	3009090.231
966	3008254.313
967	3007419.77
968	3006820.953
969	3006662.156
970	3006048.554
971	3004665.777
972	3004516.128
973	3003931.648
974	3003839.658
975	3002700.113
976	3002426.452
977	3002150.942
978	3001548.726
979	3000975.682
980	3000787.496
981	3000340.115
982	3000255.467
983	2999285.604
984	2997935.169
985	2996787.02
986	2995906.359
987	2995736.822
988	2995462.675
989	2995270.457
990	2994660.415
991	2994623.813
992	2994212.492
993	2993751.018
994	2993548.944
995	2993430.092
996	2993063.019
997	2991589.012
998	2991372.381
999	2991246.761
